item_id,title,storage_type,shelf_life_days,can_freeze,frozen_shelf_life_days,perishability,confidence,notes
69333,Huset Vin Glas,ambient,1095,False,,low,low,House wine by glass from bottled stock; stored ambient.
69792,Potato kale pesto,frozen,2,True,90,high,medium,Potatoes and mushrooms perishable; max gap 12 days requires freezing.
94512,Espresso,dry,365,False,,low,high,Coffee beans stored dry; max gap 4 days fits regular use.
94521,Latte,refrigerated,7,False,,medium,low,Milk for latte refrigerated; daily staple ensures freshness.
94522,Small Latte,refrigerated,7,False,,medium,low,Milk for small latte refrigerated; max gap 12 days suggests occasional use.
94523,Cappuccino,refrigerated,7,False,,medium,low,Milk for cappuccino refrigerated; daily staple ensures freshness.
94524,Flat white,refrigerated,7,False,,medium,low,Milk for flat white refrigerated; daily staple ensures freshness.
94525,Chai Latte,dry,365,False,,low,low,Chai mix stored dry; milk refrigerated separately; daily staple.
94526,Mocha,dry,365,False,,low,low,Chocolate and coffee stored dry; milk refrigerated; max gap 7 days fits irregular use.
94527,Dirty Chai,dry,365,False,,low,low,Chai and coffee stored dry; max gap 13 days suggests dry storage.
94528,Latte Macchiato,refrigerated,7,False,,medium,low,Milk for macchiato refrigerated; max gap 8 days fits irregular use.
94529,Espresso Macchiato,dry,365,False,,low,low,Coffee beans stored dry; max gap 26 days requires non-perishable storage.
94530,Hot chocolate,dry,365,False,,low,low,Chocolate powder stored dry; milk refrigerated separately; max gap 5 days fits regular use.
94531,Tea,dry,365,False,,low,high,Tea bags stored dry; daily staple.
94533,Extra shot coffee,dry,365,False,,low,low,Coffee stored dry; max gap 12 days fits occasional use.
94534,Iced latte,refrigerated,7,False,,medium,low,Milk for iced latte refrigerated; max gap 9 days fits irregular use.
94535,"Bread, butter and cheese",refrigerated,7,True,90,medium,medium,"Bread, butter, and cheese refrigerated; max gap 4 days fits regular use."
94536,"Bread, vegan butter and vegan cheese",frozen,2,True,90,high,medium,Vegan cheese and avocado perishable; max gap 19 days requires freezing.
94537,"Bread, butter and avocado",refrigerated,3,False,,high,medium,Avocado highly perishable; max gap 9 days suggests refrigerated and used quickly.
94538,"Bread, butter and scrambled eggs bacon",refrigerated,3,True,60,high,medium,Eggs and bacon highly perishable; max gap 3 days allows refrigeration.
94539,Pancake set,refrigerated,3,False,,medium,low,parse error
94540,"Yogurt, granola, jam and berries",refrigerated,3,False,,medium,low,parse error
94541,"Vegan yogurt, granola, jam and berries",refrigerated,3,False,,medium,low,parse error
94542,Healthy  Start Breakfast,refrigerated,3,False,,medium,low,parse error
94543,Luxury Brunch,refrigerated,3,False,,medium,low,parse error
94544,Vegan Luxury Brunch,refrigerated,3,False,,medium,low,parse error
94545,Oyster Hats mushroom sandwich 🌱,refrigerated,3,False,,medium,low,parse error
94546,Salmon sandwich,refrigerated,3,False,,medium,low,parse error
94547,Chicken sandwich,refrigerated,3,False,,medium,low,parse error
94548,Tofu sandwich 🌱,refrigerated,3,False,,medium,low,parse error
94549,Oyster hats mushroom salad🌱,refrigerated,3,False,,medium,low,parse error
94550,Salmon salad,refrigerated,3,False,,medium,low,parse error
94551,Chicken salad,refrigerated,3,False,,medium,low,parse error
94552,Tofu salad 🌱,refrigerated,3,False,,medium,low,parse error
94553,cookie - dark,refrigerated,3,False,,medium,low,parse error
94555,Muffin chocolate,refrigerated,3,False,,medium,low,parse error
94557,Croissant butter,refrigerated,3,False,,medium,low,parse error
94558,Walnut tart,refrigerated,3,False,,medium,low,parse error
94560,Toburge,refrigerated,3,False,,medium,low,parse error
94570,Cola-Cola Zero,refrigerated,3,False,,medium,low,parse error
94571,Cola-Cola Original,refrigerated,3,False,,medium,low,parse error
94573,Vitamin well boost,refrigerated,3,False,,medium,low,parse error
94574,Vitamin well upgrade,refrigerated,3,False,,medium,low,parse error
94575,Mineral water,refrigerated,3,False,,medium,low,parse error
94577,Vegan Healthy Start Breakfast,refrigerated,3,False,,medium,low,parse error
94580,The Joe,refrigerated,3,False,,medium,low,parse error
94581,Always,refrigerated,3,False,,medium,low,parse error
94582,Clear Vision,refrigerated,3,False,,medium,low,parse error
94583,Sport,refrigerated,3,False,,medium,low,parse error
94584,Morning Glory,refrigerated,3,False,,medium,low,parse error
94585,Power Shake,refrigerated,3,False,,medium,low,parse error
94586,Morning Shake,refrigerated,3,False,,medium,low,parse error
94587,Tiger Shake,refrigerated,3,False,,medium,low,parse error
94966,Iced Chai latte,refrigerated,3,False,,medium,low,parse error
94967,Orange Juice,refrigerated,3,False,,medium,low,parse error
94968,Apple Juice,refrigerated,3,False,,medium,low,parse error
95473,Cookie light - hazelnut & dark chocolate,refrigerated,3,False,,medium,low,parse error
95474,Muffin blueberry,refrigerated,3,False,,medium,low,parse error
95475,Berry red cake 🍰,refrigerated,3,False,,medium,low,parse error
95476,Strawberry cake,refrigerated,3,False,,medium,low,parse error
95477,Strawberry cake,refrigerated,3,False,,medium,low,parse error
95478,Key Lime cheesecake,refrigerated,3,False,,medium,low,parse error
95496,Americano,refrigerated,3,False,,medium,low,parse error
96005,Cortado,refrigerated,3,False,,medium,low,parse error
96079,"Nature beauty( beetroot, Lime, Ginger, Apple)",refrigerated,3,False,,medium,low,parse error
97016,Napoli,refrigerated,3,False,,medium,low,parse error
97256,Vitamin Well Recover,refrigerated,3,False,,medium,low,parse error
98803,Ice Mocha Latte,refrigerated,3,False,,medium,low,parse error
99669,Iced Oreo coffee latte,refrigerated,3,False,,medium,low,parse error
100877,Triple chocolate cake,refrigerated,3,False,,medium,low,parse error
104869,Draft Beer 1664. Large,refrigerated,3,False,,medium,low,parse error
104870,Beer 166,refrigerated,3,False,,medium,low,parse error
104903,Draft beer tuborg classic—- Large,refrigerated,3,False,,medium,low,parse error
104905,Draft beer Tuborg classic— small,refrigerated,3,False,,medium,low,parse error
107097,American Pie,refrigerated,3,False,,medium,low,parse error
108381,Vegan cheesecake 🌱,refrigerated,3,False,,medium,low,parse error
123540,Honey cake,refrigerated,3,False,,medium,low,parse error
128494,Sex on the beach,refrigerated,3,False,,medium,low,parse error
173011,Vegetar,refrigerated,3,False,,medium,low,parse error
173042,Kylling,refrigerated,3,False,,medium,low,parse error
173043,Tofu,refrigerated,3,False,,medium,low,parse error
173044,Rejer,refrigerated,3,False,,medium,low,parse error
173045,And,refrigerated,3,False,,medium,low,parse error
173046,Lam,refrigerated,3,False,,medium,low,parse error
173051,Autentiske retter,refrigerated,3,False,,medium,low,parse error
173054,Poser,refrigerated,3,False,,medium,low,parse error
173062,Stegte nudler,refrigerated,3,False,,medium,low,parse error
173063,StegteRis,refrigerated,3,False,,medium,low,parse error
173064,Jasminris,refrigerated,3,False,,medium,low,parse error
173070,Rejechips,refrigerated,3,False,,medium,low,parse error
173074,cashew,refrigerated,3,False,,medium,low,parse error
173079,Frokost Tilbud,refrigerated,3,False,,medium,low,parse error
173092,Dåse sodavand,refrigerated,3,False,,medium,low,parse error
173512,Oksekød,refrigerated,3,False,,medium,low,parse error
173513,"Forret, sup & børn",refrigerated,3,False,,medium,low,parse error
173515,Ekstra Kød,refrigerated,3,False,,medium,low,parse error
173519,ekstra æg,refrigerated,3,False,,medium,low,parse error
173520,Ekstra Grønsage,refrigerated,3,False,,medium,low,parse error
173521,Ekstra Topping,refrigerated,3,False,,medium,low,parse error
173522,Vand,refrigerated,3,False,,medium,low,parse error
253235,Carlsberg,refrigerated,3,False,,medium,low,parse error
292500,Pommes frites,refrigerated,3,False,,medium,low,parse error
292514,Hotstone Bøf af oksemørbrad   ca. 200g.,refrigerated,3,False,,medium,low,parse error
292528,Kaffe og kage,refrigerated,3,False,,medium,low,parse error
292538,Varm kakao,refrigerated,3,False,,medium,low,parse error
292539,Sodavand 25 cl.,refrigerated,3,False,,medium,low,parse error
292540,Sodavan 50 cl.,refrigerated,3,False,,medium,low,parse error
292548,25 cl.  fadøl,refrigerated,3,False,,medium,low,parse error
292551,33 cl.  Grimbergen,refrigerated,3,False,,medium,low,parse error
292552,50 cl.  Grimbergen,refrigerated,3,False,,medium,low,parse error
294017,"Rosario rød eller hvid, glas",refrigerated,3,False,,medium,low,parse error
294019,Rosario fl.,refrigerated,3,False,,medium,low,parse error
298311,Trumpeter (Malbec),refrigerated,3,False,,medium,low,parse error
298817,Iced coffee,refrigerated,3,False,,medium,low,parse error
306789,Unspecified,refrigerated,3,False,,medium,low,parse error
306875,Unspecified,refrigerated,3,False,,medium,low,parse error
306944,Unspecified,refrigerated,3,False,,medium,low,parse error
314089,Unspecified,refrigerated,3,False,,medium,low,parse error
316234,Unspecified,refrigerated,3,False,,medium,low,parse error
317225,Pilsner,refrigerated,3,False,,medium,low,parse error
317226,Diverse sodavand og danskvand,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317227,½ liter kildevand,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317230,Cognac,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317231,Diverse Likør,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317235,Gammelhave Kande,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
317237,Dessertvin: Portvin / Cherry 5 cl.,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317238,Velkomstdrink,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317239,Husets vin - rød / hvid          1/1 fl.,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317241,Husets vin - rød / hvid          1 gl.,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317244,Kaffe / The (inkl. opfyldning) pr. Person,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317245,Kande kaffe,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317246,Kande the,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317249,Dagensret,frozen,30,True,90,high,medium,Gap 18.0d enforces freezing.
317250,Lille Dagensret u/drikke,frozen,30,True,90,high,medium,Gap 18.0d enforces freezing.
317251,Sodavand,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317252,Kildevand,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317253,Isdessert,frozen,180,True,180,medium,high,Ice cream: frozen storage only.
317254,Pandekager m/is,frozen,30,True,90,high,medium,Gap 30.0d enforces freezing.
317255,Kaffe eller the (krus),ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
317803,Dagensret uden drikke,frozen,30,True,90,high,medium,Gap 18.0d enforces freezing.
320590,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=12.0d."
321542,Dameklip m. Let føn.,dry,0,False,,low,high,Service item: not applicable.
321543,Herreklip m. Let føn.,dry,0,False,,low,high,Service item: not applicable.
321544,Børneklip op til 12 år m. Let føn.,dry,0,False,,low,high,Service item: not applicable.
323025,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=7.0d."
323416,Frokost MENU 1 ( 18 stk.),frozen,30,True,90,high,medium,Gap 28.0d: must freeze for storage.
323417,Frokost MENU 2 ( 28 stk.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323422,Soya Crispy Party,frozen,30,True,90,high,medium,Gap 14.0d: must freeze for storage.
323424,Soya mini de luxe ( til 2 pers. ),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323425,Soya Special menu (til 3 pers.),frozen,30,True,90,high,medium,Gap 23.0d: must freeze for storage.
323426,Soya Super De Luxe ( til 5-6 pers. ),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323428,Soya Box​ - 10,frozen,30,True,90,high,medium,Gap 34.0d: must freeze for storage.
323429,Soya Box​ - 12,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323430,Soya Box​ - 14,frozen,30,True,90,high,medium,Gap 21.0d: must freeze for storage.
323433,Husum menu 1,frozen,30,True,90,high,medium,Gap 23.0d: must freeze for storage.
323434,Husum menu 2,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323435,Husum menu 3,frozen,30,True,90,high,medium,Gap 16.0d: must freeze for storage.
323436,Vegetar Box,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323437,Maki party 1 (2 pers.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323438,Maki party 2 (4 pers.),frozen,30,True,90,high,medium,Gap 16.0d: must freeze for storage.
323439,Menu A (26 stk. til 2 pers.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323440,Menu B (45 stk. til 3 pers.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323443,Laks menu (12 stk.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323445,Nigiri box 1,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323447,MENU FRIHED (2 pers.),ambient,365,False,,low,medium,Generic classification based on cadence.
323453,FAMILIE MENU 2 (76 stk. til 5 personer),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323455,​SOYA PARTY,frozen,30,True,90,high,medium,Gap 43.0d: must freeze for storage.
323456,Miso suppe,frozen,30,True,90,high,medium,Gap 26.0d enforces freezing.
323457,Hønsekød suppe,frozen,30,True,90,high,medium,Gap 22.0d enforces freezing.
323458,Spicy miso suppe,refrigerated,2,True,60,high,high,"Soup: refrigerate 2 days, freezer 60 days."
323459,Edamame,ambient,365,False,,low,medium,Generic classification based on cadence.
323460,Spicy edamame,ambient,365,False,,low,medium,Generic classification based on cadence.
323462,Tangsalat,ambient,365,False,,low,medium,Generic classification based on cadence.
323463,Forårsruller,ambient,365,False,,low,medium,Generic classification based on cadence.
323464,Tempura hvidfisk,ambient,365,False,,low,medium,Generic classification based on cadence.
323466,Wanton,ambient,365,False,,low,medium,Generic classification based on cadence.
323467,Ebi tempura,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323468,Gyoza,ambient,365,False,,low,medium,Generic classification based on cadence.
323469,Reje chips,frozen,30,True,90,high,medium,Gap 30.0d: must freeze for storage.
323470,Laks,frozen,30,True,90,high,medium,Gap 14.0d: must freeze for storage.
323471,Laks Med Hvidløg​,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323472,Laks m/avocado,frozen,30,True,90,high,medium,Gap 19.0d: must freeze for storage.
323473,Flamberet laks med teriyaki sauce,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323478,Tun,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323482,Grillet kammusling m/teriyaki sauce,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323485,Tofu / Inari tofu,ambient,365,False,,low,low,"Unknown item, cadence max_gap=24.0d."
323488,California Roll 8 stk.,frozen,30,True,90,high,medium,Gap 26.0d: must freeze for storage.
323489,Shiromi Roll 8 stk.,frozen,2,True,90,high,medium,Gap 12.0d avg: freezing required.
323490,Super California Roll 8 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323491,Crispy chicken roll (8 stk.),frozen,30,True,90,high,medium,Gap 20.0d: must freeze for storage.
323492,San Francisco Roll 8 stk.,frozen,30,True,90,high,medium,Gap 25.0d: must freeze for storage.
323493,Spicy Laks 8 stk.,frozen,30,True,90,high,medium,Gap 17.0d: must freeze for storage.
323494,Tempura Laks,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323496,Spicy Tun Roll 8 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323498,Ebi Furai Roll 8 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323499,Spicy Duck Roll (8 stk.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323500,Alaska Roll 8 stk.,frozen,30,True,90,high,medium,Gap 19.0d: must freeze for storage.
323502,Red sumo,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323506,Vegetar roll - top med tangsalat,frozen,30,True,90,high,medium,Gap 19.0d: must freeze for storage.
323508,Rainbow ( 8 stk.),frozen,30,True,90,high,medium,Gap 21.0d: must freeze for storage.
323510,Soya roll (8 stk.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323511,Hell´s kitchen (8 stk.),refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323512,Flamberet laks (8 stk.),frozen,30,True,90,high,medium,Gap 19.0d: must freeze for storage.
323513,Jade Dragon,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323514,Flamme dragon,frozen,30,True,90,high,medium,Gap 48.0d: must freeze for storage.
323518,California med laks - 6 stk.,frozen,30,True,90,high,medium,Gap 16.0d: must freeze for storage.
323519,California med laks - 12 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323520,California big - 6 stk.,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323523,Tuna roll - 12 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323524,Crispy tun big - 6 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323529,Shake roll - 12 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323530,Crispy laks big - 6 stk.,frozen,30,True,90,high,medium,Gap 22.0d: must freeze for storage.
323531,Crispy laks big - 12 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323532,Vegetar roll - 6 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323533,Vegetar roll - 12 stk.,frozen,30,True,90,high,medium,Gap 25.0d: must freeze for storage.
323535,Ebi furai big - 12 stk.,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323538,Tempura chicken roll - 6 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323539,Tempura chicken roll - 12 stk.,frozen,30,True,90,high,medium,Gap 25.0d: must freeze for storage.
323541,Spicy duck roll  - 12 stk.,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323544,8 stk. agurk​,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323545,8 stk. avocado,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323546,8 stk. mango​,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323547,8 stk. laks​,frozen,30,True,90,high,medium,Gap 19.0d: must freeze for storage.
323549,8 stk. tun​,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323552,8 stk. laks med avocado​,frozen,30,True,90,high,medium,Gap 32.0d: must freeze for storage.
323554,8 stk. japansk crabstick​,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323556,Laks 8 skiver + sushi ris,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323559,Dybstegte panerede tigerejer,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323560,crispy chicken,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
323573,Yakisoba Beef,ambient,365,False,,low,medium,Generic classification based on cadence.
323574,Yakisoba Kylling,ambient,365,False,,low,medium,Generic classification based on cadence.
323575,"Kylling med grøntsager, cashewnødder og ris",ambient,365,False,,low,low,"Unknown item, cadence max_gap=37.0d."
323576,Kylling med grøntsager i japansk karry sauce ( stærkt) og ris,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323577,Yakiniku,ambient,365,False,,low,medium,Generic classification based on cadence.
323578,Soya ris,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323579,Soya and,frozen,30,True,90,high,medium,Gap 20.0d: must freeze for storage.
323591,Ris,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323592,Menu D​,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
323597,​Coca cola - 25 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=14.0d."
323598,​Coca cola - 50 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323612,Kildevand​,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
323619,Asahi - 33 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=6.0d."
323620,Kirin - 33 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323621,Sapporo - 33 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323622,Sapporo - 65 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323627,Grøn te / kande​,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323846,7SECONDS,ambient,365,False,,low,low,"Unknown item, cadence max_gap=46.0d."
323847,BOING CURL,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
323853,STYLE,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
324798,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=11.0d."
327866,Pose,ambient,365,False,,low,low,"Unknown item, cadence max_gap=3.0d."
327901,Teriaky sauce,ambient,365,False,,low,low,"Unknown item, cadence max_gap=41.0d."
327902,Chilimayo,ambient,365,False,,low,low,"Unknown item, cadence max_gap=12.0d."
327904,Soya sauce,refrigerated,2,False,,high,high,"Fresh sushi/seafood: refrigerate, consume within 2 days."
327907,Gomadressing,ambient,365,False,,low,low,"Unknown item, cadence max_gap=41.0d."
329061,Te,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
329085,Ipa,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
329090,"Hvid, glas",ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
330462,Danish water ( sprinkles water),ambient,365,False,,low,low,"Unknown item, cadence max_gap=7.0d."
330463,Iced chocolate milk,ambient,365,False,,low,low,"Unknown item, cadence max_gap=35.0d."
331126,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=5.0d."
332341,Levering,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
334149,Vegetarian,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
334150,Pizza of the day,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
334316,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=6.0d."
338411,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=3.0d."
339317,Øl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=5.0d."
339326,Sodavand,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
339327,Kildevand,ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
339328,Vin (glas),ambient,365,False,,low,high,"Beverage/alcohol: ambient storage, long shelf life."
339332,Snaps 2 cl,ambient,365,False,,low,low,"Unknown item, cadence max_gap=33.0d."
340446,Unspecified,ambient,365,False,,low,low,"Unknown item, cadence max_gap=3.0d."
340510,CRISPY BURGER,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
340511,AL YOOZ BURGER,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
340512,BROASTED KYLLING,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
340513,CRISPY KYLLING,refrigerated,3,False,,medium,medium,"Vegetable-based: refrigerate, consume 3 days."
340519,PØLSER OG PEPERONI PIZZA,ambient,365,False,,low,low,"Unknown item, cadence max_gap=0.0d."
340521,CRISPY CHICKEN BØREN,ambient,365,False,,low,medium,Generic classification based on cadence.
340523,KEBAB,ambient,365,False,,low,medium,Generic classification based on cadence.
340524,KYLLING,ambient,365,False,,low,medium,Generic classification based on cadence.
340526,SKINKE og OST,ambient,365,False,,low,medium,Generic classification based on cadence.
340531,KEBAB,ambient,365,False,,low,medium,Generic classification based on cadence.
340532,KYLLING,ambient,365,False,,low,medium,Generic classification based on cadence.
340533,MIX,ambient,365,False,,low,medium,Generic classification based on cadence.
